Hindu Student Association,,A religious club for those interested in Hinduism.,100,religion
Emory Circle K,,A service organization with diverse projects.,101,service
Volunteer Emory,,A service organization with student-led trips.,102,service
Pakistani Student Association,,A cultural club for people interested in what it means to be Pakistani.,103,cultural
Emory Crew,,A sports club for team-based boat races.,104,sports
Muslim Student Association,,A religious club for those interested in Islam.,105,religion
Black Student Alliance,,A cultural club for people interested in what it means to be Black.,106,cultural
Phi Delta Theta,,The premier men's leadership fraternity.,107,greek
Student Programming Committee,,A club that plans great events that improve student life on campus.,108,activities
