building,room,campus,longitude,latitude,location_id
White Hall,205,main,,,100
White Hall,206,main,,,101
White Hall,207,main,,,102
White Hall,208,main,,,103
MSC,lobby,main,,,104
MSC,301,main,,,105
Cox Hall,Ballroom,main,,,106
Raoul,lobby,main,,,107
Outdoors,Cox Bridge,main,,,107
Outdoors,Asbury Circle,main,,,108
Outdoors,Quad,main,,,109
Outdoors,Freshman Quad,main,,,110
SAAC,312,clairmont,,,111
